id,app,category,website_hint,one_line_description,auth_methods,auth_summary,access_model,access_notes,api_surface_type,api_surface_breadth,api_surface_summary,mcp_status,existing_mcp_url,buildability_verdict,main_blocker,evidence_urls,confidence,agent_notes,verified,verification_notes
23,Zoho Cliq,Communications and Messaging,zoho.com/cliq,"Zoho's team chat app with channels, bots, and workflow integrations, part of the Zoho suite.",OAuth2,"The Cliq REST API v2 uses Zoho's standard OAuth 2.0 (register a client in the Zoho API Console, obtain access/refresh tokens with Cliq scopes).",self_serve,"Developers register an application self-serve in the Zoho API Console to get client ID/secret; a free Cliq plan exists, so credentials are obtainable without payment. Regional data centers use different token/API endpoints.",REST,broad,"REST API v2 at cliq.zoho.com/api/v2 covers chats, messages, channels, threads, users, roles, departments, teams, calendars/events, bots, reminders, and file management.",official_mcp,https://www.zoho.com/cliq/help/platform/zoho-cliq-mcp.html,build_now,none,https://www.zoho.com/cliq/help/restapi/v2/; https://www.zoho.com/cliq/help/platform/zoho-cliq-mcp.html; https://www.zoho.com/mcp/,high,Fetched official v2 REST docs confirming OAuth2 and a wide endpoint list. Zoho hosts official MCP servers (mcp.zoho.com) that include Cliq. Multi-DC (zoho.com/.in/.eu) endpoints add minor integration complexity.,False,
24,Lark / Larksuite,Communications and Messaging,open.larksuite.com,"ByteDance's collaboration suite (messaging, docs, calendar, video) with an extensive open platform for apps and bots.",OAuth2; Bearer token,"Server APIs use bearer access tokens: tenant_access_token/app_access_token obtained with the app's App ID + App Secret, and user_access_token obtained via an OAuth/OIDC user authorization flow. Tokens expire and must be refreshed.",self_serve,Developers create a custom app self-serve in the Lark Developer Console to get App ID/App Secret; API scopes must be requested per app and some require tenant admin approval before use in an organization.,REST,broad,"Very broad OpenAPI surface covering messaging (IM), contacts, calendar, docs/sheets/base, approvals, and more, plus events/callbacks; documented at open.larksuite.com.",official_mcp,https://github.com/larksuite/lark-openapi-mcp,build_now,none,https://open.larksuite.com/document/server-docs/getting-started/api-access-token/app-access-token-development-guide; https://github.com/larksuite/lark-openapi-mcp; https://open.larksuite.com/document/uAjLw4CM/ukTMukTMukTM/reference/authen-v1/oidc-access_token/create; https://open.larksuite.com/document/server-docs/getting-started/terminology,medium,Auth model confirmed from official open.larksuite.com doc pages via search snippets rather than full page fetches. Official MCP exists (larksuite/lark-openapi-mcp on GitHub). Note Feishu (CN) vs Lark (international) have separate consoles/endpoints; scope approval by tenant admins is a mild operational caveat.,True,Manually verified in QA sample; no corrections needed.
25,Pumble,Communications and Messaging,pumble.com,"Free team chat app (by CAKE.com) with channels, threads, and calls, positioned as a Slack alternative.",API key,"API access is via an API-keys addon: after installing the addon in a workspace, users generate personal API keys with the /api-keys generate command and pass them to the HTTP API.",self_serve,"Free self-serve: sign up for Pumble, install the API addon from the addon marketplace, then generate API keys in-app. No OAuth app registration flow documented for the public API.",REST,narrow,"Swagger-documented HTTP API for sending messages, replies, reactions, and listing/managing channels and users; rate limited to ~1000 requests/min per user. There is also a pumble-sdk for building bot-style apps.",community_mcp,https://lobehub.com/mcp/shoutkol-pumble-mcp-server,build_with_limits,Narrow addon-based API with per-user API keys and no OAuth app model,https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/; https://pumble-api-keys.addons.marketplace.cake.com/api-docs/; https://www.npmjs.com/package/pumble-sdk,medium,API is delivered as a marketplace addon rather than a first-class platform API; docs are thin. Only community MCP listings found (e.g. shoutkol pumble-mcp-server on LobeHub); no official Pumble MCP. Auth is API-key only per evidence found.,False,
26,Discord,Communications and Messaging,discord.com,"Community chat platform with servers, channels, voice, and a massive bot ecosystem.",Bot token; OAuth2,The API accepts an Authorization header with either a bot token ('Bot <token>' from the app's Bot page) or an OAuth2 bearer token ('Bearer <token>') for user-delegated access.,self_serve,"Register an application self-serve in the Discord Developer Portal; bot token is issued immediately. Privileged gateway intents (message content, presence, members) and bots in 100+ servers require verification/approval.",REST,broad,"HTTP REST API (discord.com/api) covering messages, channels, guilds, members, roles, threads, slash commands, plus a Gateway WebSocket API for real-time events.",community_mcp,https://github.com/SaseQ/discord-mcp,build_now,none,https://docs.discord.com/developers/reference; https://github.com/SaseQ/discord-mcp; https://github.com/hanweg/mcp-discord,high,"Fetched official API reference (now hosted at docs.discord.com). Many community MCP servers exist; no official Discord MCP found. Caveat for a toolkit: message-content privileged intent and bot verification at scale, and the bot must be invited to each guild.",False,
27,Telegram,Communications and Messaging,core.telegram.org,"Global messaging app whose Bot API lets developers build bots that send/receive messages, manage chats, and take payments.",Bot token,"The Bot API authenticates with a bot token embedded in the URL (https://api.telegram.org/bot<token>/METHOD), issued free by @BotFather. Full user-account access requires the separate MTProto API with api_id/api_hash (not standard REST auth).",self_serve,Completely self-serve and free: create a bot via BotFather in the Telegram app and receive the token instantly. MTProto api_id/api_hash are also self-serve via my.telegram.org.,REST,broad,"HTTP-based Bot API covers sending/receiving all message types, inline queries, chat/member administration, polls, payments, and web apps; limited to what bots can see (no arbitrary user-account history without MTProto).",community_mcp,https://github.com/sparfenyuk/mcp-telegram,build_now,none,https://core.telegram.org/bots/api; https://github.com/sparfenyuk/mcp-telegram; https://github.com/chigwell/telegram-mcp,high,Fetched official Bot API docs. Many community MCP servers exist (both Bot API-based and MTProto/Telethon user-account based); none official from Telegram. A Composio toolkit would realistically be bot-scoped: bots only see chats they are added to.,False,
28,WhatsApp Business,Communications and Messaging,developers.facebook.com/docs/whatsapp,Meta's Cloud API for sending and receiving WhatsApp messages programmatically as a business.,Bearer token,Cloud API calls (Meta Graph API) use bearer access tokens: temporary developer tokens for testing and permanent System User access tokens (with whatsapp_business_messaging / whatsapp_business_management permissions) for production. Not a standard user-facing OAuth2 flow for messaging.,trial_or_free_but_limited,"Self-serve: register as a Meta developer, create an app with the WhatsApp use case, and get a test number + temporary token immediately. Production sending at scale requires a real phone number, system-user token, and business verification/messaging-limit tiers.",REST,medium,"Graph API endpoints for sending template and free-form messages (within the 24-hour customer service window), media, message templates, phone number and WABA management, plus webhooks for inbound messages and statuses.",community_mcp,https://github.com/lharries/whatsapp-mcp,build_with_limits,Business verification and template/24-hour-window messaging rules gate production use,https://developers.facebook.com/docs/whatsapp/cloud-api/get-started; https://github.com/lharries/whatsapp-mcp; https://github.com/mattcoatsworth/Whatsapp-MCP-Server,high,"Fetched official get-started docs. Most popular community MCPs (e.g. lharries/whatsapp-mcp) bridge the unofficial WhatsApp Web protocol rather than the Business Cloud API; a Composio toolkit should target the official Cloud API with system-user tokens. Testing is free/self-serve, but real-world messaging requires verified business + approved templates.",False,
29,Aircall,Communications and Messaging,aircall.io,"Cloud business phone system for sales/support teams with calls, SMS/WhatsApp, and CRM integrations.",Basic auth; OAuth2,Customers use HTTP Basic auth with an api_id/api_token pair generated in the Aircall Dashboard; technology partners use OAuth 2.0 with client_id/client_secret issued after signing up to Aircall's partner program.,paid_plan_required,"API keys are generated in the company dashboard, so you need an Aircall account (paid subscription; short free trial available). OAuth credentials require applying via aircall.io/partners/technology/signup and being onboarded by Aircall.",REST,medium,"REST API covering users, teams, numbers, calls (list/transfer/tag/archive), contacts, SMS/messaging, call AI features (transcripts, sentiment, summaries), webhooks, and analytics.",community_mcp,https://github.com/themobilefirstco/aircall-mcp-server,needs_partner_or_paid_access,Credentials require a paid Aircall subscription (Basic auth) or partner-program approval (OAuth2),https://developer.aircall.io/api-references/; https://github.com/themobilefirstco/aircall-mcp-server; https://lobehub.com/mcp/themobilefirstco-aircall-mcp-server,high,"Fetched official API reference confirming both auth modes. The well-known Aircall MCP server (73 tools) is explicitly unofficial, built by a competitor (Allo/The Mobile First Company). API itself is well documented; the gate is account/partner access, not technology.",False,
30,Vonage,Communications and Messaging,developer.vonage.com,"CPaaS (formerly Nexmo) offering SMS, voice, video, verify, and network APIs.",Basic auth; API key; JWT,"APIs authenticate either with the account API key + secret (Base64-encoded in a Basic Authorization header, or as query/body params on older APIs) or with JWTs signed by a Vonage Application's private key; which method applies varies per API (e.g. Verify v2 and Voice favor JWT).",trial_or_free_but_limited,"Self-serve signup on the Vonage dashboard issues an API key and secret immediately, with free trial credit; applications (for JWT auth) are also created self-serve in the dashboard. Some network APIs require additional enablement.",REST,broad,"REST APIs for SMS, Messages (WhatsApp/Viber/MMS), Voice, Verify, Number Insight, Numbers provisioning, Video, and newer network APIs, with SDKs across major languages.",official_mcp,https://github.com/Vonage/vonage-mcp-server-documentation,build_now,none,https://developer.vonage.com/en/getting-started/concepts/authentication; https://github.com/Vonage/vonage-mcp-server-documentation; https://developer.vonage.com/en/blog/the-vonage-server-and-tooling-mcp-servers-are-live-on-postman; https://github.com/Vonage-Community/telephony-mcp-server; https://api.support.vonage.com/hc/en-us/articles/212554438-What-are-the-limitations-of-a-trial-account,medium,"The specific auth doc URL I tried 404'd, but multiple official developer.vonage.com pages surfaced in search confirm API key/secret Basic auth plus application JWT auth. Vonage publishes official MCP servers (documentation MCP under the Vonage org; server/tooling MCPs announced on Postman) and community telephony MCP under Vonage-Community. Per-API auth-method variation is the main integration nuance.",True,Manually verified in QA sample; no corrections needed.
31,Google Ads,"Marketing, Ads, Email and Social",developers.google.com/google-ads,"Google's advertising platform for search, display, YouTube and shopping campaigns, managed programmatically via the Google Ads API.",OAuth2; Service account,All API calls require OAuth2 (user consent flow or service account/domain-wide delegation with scope https://www.googleapis.com/auth/adwords) PLUS a Google Ads developer token attached to a manager (MCC) account. OAuth alone is not sufficient.,admin_approval_required,Developer token is issued instantly but starts at Test Account Access (test accounts only). Google may auto-upgrade to Explorer Access (limited production ops/day); Basic Access (15k ops/day) and Standard Access (unlimited) require an application form review with business justification and API policy compliance.,REST,broad,"Full campaign lifecycle: accounts, campaigns, ad groups, ads, budgets, bidding, audiences, keywords, conversions, and reporting via GAQL query language. Available as REST and gRPC with official client libraries.",official_mcp,https://github.com/googleads/google-ads-mcp,build_with_limits,Developer token access-level approval (Basic/Standard) required before production accounts can be used at scale,https://developers.google.com/google-ads/api/docs/oauth/overview; https://developers.google.com/google-ads/api/docs/api-policy/access-levels; https://developers.google.com/google-ads/api/docs/api-policy/developer-token; https://developers.google.com/google-ads/api/docs/developer-toolkit/mcp-server; https://github.com/googleads/google-ads-mcp,high,"Google published an official open-source MCP server (googleads/google-ads-mcp, verified by fetching the repo) — initial version is read-only/diagnostics-focused and still requires your own developer token (Explorer+ for production) and OAuth credentials. Many community MCPs also exist. The developer token + MCC requirement is the practical hurdle for any multi-tenant toolkit.",False,
32,Meta Ads,"Marketing, Ads, Email and Social",developers.facebook.com/docs/marketing-apis,"Meta's Marketing API for creating and managing Facebook/Instagram ad campaigns, audiences, creatives, and insights.",OAuth2; Bearer token,"OAuth2 via Facebook Login producing user access tokens (short-lived, exchangeable for 60-day long-lived tokens) with ads_management/ads_read permissions; non-expiring system user tokens from Business Manager are the recommended production pattern. Tokens are sent as Bearer tokens to the Graph API.",admin_approval_required,"Creating a Meta developer app is self-serve and dev-mode works against your own ad accounts immediately. Serving external users requires Meta App Review for ads_management/business_management (Advanced Access, with business verification), and higher rate limits require the 'Marketing API Access Tier' feature (formerly Ads Management Standard Access), qualified via 500+ API calls in 15 days with <15% error rate.",REST,broad,"Graph API-based REST surface covering campaigns, ad sets, ads, creatives, custom audiences, targeting, catalogs, and the Insights reporting API across Facebook and Instagram.",official_mcp,https://www.facebook.com/business/news/meta-ads-ai-connectors,build_with_limits,Meta App Review + Advanced Access (and business verification) required to act on ad accounts outside your own Business Manager,https://developers.facebook.com/docs/marketing-api/get-started/authorization; https://developers.meta.com/blog/updates-to-ads-management-standard-access-feature/; https://www.facebook.com/business/news/meta-ads-ai-connectors; https://github.com/pipeboard-co/meta-ads-mcp; https://developers.facebook.com/docs/marketing-api/overview/authorization,medium,Meta launched official 'Meta Ads AI Connectors' — an MCP server in open beta requiring no developer credentials — plus popular community MCPs (e.g. pipeboard-co/meta-ads-mcp). AMSA was renamed 'Marketing API Access Tier' in May 2026 per Meta's developer blog; docs terminology may be in flux. Auth/access details confirmed via official doc snippets in search results but I did not fully fetch the authorization page.,True,Manually verified in QA sample; no corrections needed.
33,LinkedIn Ads,"Marketing, Ads, Email and Social",learn.microsoft.com/linkedin/marketing,"LinkedIn's Marketing/Advertising API for managing sponsored campaigns, audiences, and ad reporting on LinkedIn.",OAuth2,"3-legged OAuth2 (authorization code flow, member authorization) is required for Marketing APIs; you register a LinkedIn developer app and users grant it access. No API-key option.",admin_approval_required,"You must create a developer app and apply for the Advertising API product via an access-request form; LinkedIn reviews the use case (typically 2-4 weeks, generic data-collection use cases rejected). Access starts at a Development tier, and a further 'Increasing Access' review is needed for standard/production-scale access.",REST,broad,"Versioned REST API covering ad accounts, campaign groups, campaigns, creatives, targeting/audiences (Matched Audiences), conversions, lead gen forms, and analytics/reporting.",community_mcp,https://github.com/danielpopamd/linkedin-ads-mcp,needs_partner_or_paid_access,Advertising API access is gated behind LinkedIn's application review with business justification; no self-serve production credentials,https://learn.microsoft.com/en-us/linkedin/shared/authentication/authentication; https://learn.microsoft.com/en-us/linkedin/shared/authentication/getting-access; https://developer.linkedin.com/product-catalog/marketing/advertising-api; https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access?view=li-lms-2025-11; https://github.com/danielpopamd/linkedin-ads-mcp,medium,"No official LinkedIn MCP found; several community MCPs exist (danielpopamd, CData read-only, Zapier-hosted). The gate is real but not a formal paid partner program — ads-management/reporting use cases reportedly do get approved, so an established integrator like Composio could likely obtain access, just not instantly.",False,
34,GoHighLevel,"Marketing, Ads, Email and Social",highlevel.stoplight.io,"All-in-one agency marketing/CRM platform (funnels, pipelines, calendars, SMS/email) with a v2 developer API and app marketplace.",OAuth2; Private app token,"API v2 supports OAuth2 authorization code flow for marketplace apps, and Private Integration Tokens (PIT) — static scoped bearer tokens created per sub-account/agency — for internal single-account integrations. Legacy v1 API keys are deprecated.",self_serve,"Developer portal (marketplace.gohighlevel.com) signup is self-serve for creating OAuth apps; Private Integration Tokens are generated directly in a HighLevel account's settings. Testing requires a HighLevel account (paid SaaS, no free tier beyond trial), and public marketplace listing involves an app review.",REST,broad,"v2 REST API covers contacts, conversations, opportunities/pipelines, calendars, campaigns/workflows, payments, custom fields/values, locations, and more, with webhooks for events.",official_mcp,https://marketplace.gohighlevel.com/docs/other/mcp/index.html,build_now,none,https://marketplace.gohighlevel.com/docs/Authorization/OAuth2.0/index.html; https://marketplace.gohighlevel.com/docs/Authorization/PrivateIntegrationsToken/; https://marketplace.gohighlevel.com/docs/other/mcp/index.html; https://help.gohighlevel.com/support/solutions/articles/155000005741-how-to-use-the-highlevel-mcp-server,high,"HighLevel ships an official MCP server (authenticated with a Private Integration Token + location ID) exposing contacts, conversations, calendars, opportunities, payments. Note the official MCP is reportedly bundled free only on Unlimited/SaaS Pro plans. Docs now live at marketplace.gohighlevel.com/docs (the stoplight.io hint is the older doc host). Users need paid GHL accounts, but that's true of their customer base by definition.",False,
35,Mailchimp,"Marketing, Ads, Email and Social",mailchimp.com/developer,"Email marketing platform with APIs for audiences, campaigns, automations, and transactional email (Mandrill).",API key; OAuth2; Basic auth; Bearer token,"Marketing API accepts a self-generated API key (sent via HTTP Basic or Bearer) for your own account, or OAuth2 authorization-code flow for accessing other users' accounts; OAuth access tokens do not expire. Requests are routed to a per-account server prefix (e.g. us19).",self_serve,"Fully self-serve: create an API key in account settings, or register an OAuth app in the developer section. Free Mailchimp tier exists for testing. No approval process found.",REST,broad,"Marketing API covers audiences/lists, members, segments, tags, campaigns, templates, automations, reports, and e-commerce; separate Transactional (Mandrill) API for transactional sending.",official_mcp,https://mailchimp.com/developer/transactional/guides/how-to-use-mailchimps-transactional-messaging-mcp/,build_now,none,https://mailchimp.com/developer/marketing/docs/fundamentals/; https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/; https://mailchimp.com/developer/transactional/guides/how-to-use-mailchimps-transactional-messaging-mcp/; https://github.com/damientilman/mailchimp-mcp-server,high,"Mailchimp's official MCP (https://mandrillapp.com/mcp) covers only the Transactional Messaging (Mandrill) API, not the main Marketing API; Marketing API coverage exists via multiple community MCPs (e.g. damientilman/mailchimp-mcp-server with 112+ tools). Straightforward build.",False,
36,Klaviyo,"Marketing, Ads, Email and Social",developers.klaviyo.com,"Customer data and marketing automation platform for email/SMS, with rich APIs for profiles, events, campaigns, and flows.",Private app token; OAuth2; API key,"Server-side APIs authenticate via a private API key (pk_-prefixed, sent as 'Authorization: Klaviyo-API-Key ...') with configurable scopes, or via OAuth2 bearer tokens (required for App Marketplace apps, better rate limits); a public API key/site ID is used only for client-side endpoints.",self_serve,"Fully self-serve: generate private API keys in account settings (free Klaviyo tier available); OAuth apps are created via Klaviyo's developer portal. Marketplace listing has a review, but API credentials themselves are unrestricted.",REST,broad,"Versioned JSON:API REST surface covering profiles, lists, segments, events/metrics, campaigns, flows, templates, catalogs, coupons, and reporting.",official_mcp,https://developers.klaviyo.com/en/docs/klaviyo_mcp_server,build_now,none,https://developers.klaviyo.com/en/docs/authenticate_; https://developers.klaviyo.com/en/docs/set_up_oauth; https://developers.klaviyo.com/en/docs/klaviyo_mcp_server; https://www.klaviyo.com/blog/introducing-mcp-server,high,"Klaviyo has a first-class official MCP server (GA since Aug 2025, local + remote variants) documented in its developer docs — one of the most mature official MCPs in this category. Klaviyo is actively steering marketplace apps toward OAuth over private keys.",False,
37,systeme.io,"Marketing, Ads, Email and Social",systeme.io funnel builder,"All-in-one funnel builder with email marketing, courses, and automations, exposing a public API for contacts and related resources.",API key,"Public API authenticates with an API key passed in the X-API-Key header; keys are created self-serve in account settings (max 3 per account, with expiration dates). No OAuth found — the docs even solicit feedback on which auth methods to add next.",self_serve,Fully self-serve: any account (including the free plan) can create a public API key under Settings > Public API keys. No review or approval process.,REST,narrow,"REST API centered on contacts, tags, and contact fields (with cursor pagination and PATCH support); documentation is thin and the developer portal intro documents little beyond contacts/tags — funnels, courses, and payments coverage is unclear.",official_mcp,https://help.systeme.io/article/9489-how-to-use-systeme-ios-mcp,build_with_limits,"API surface is partial but broader than contacts/tags: official endpoint index lists contacts, tags, funnels, newsletters, payments/subscriptions, courses, communities, and webhooks",https://developer.systeme.io/reference/api; https://help.systeme.io/article/2329-how-to-use-systeme-io-public-api; https://help.systeme.io/article/9489-how-to-use-systeme-ios-mcp; https://api.systeme.io/documentation; https://developer.systeme.io/llms.txt,medium,"Surprise: systeme.io ships an official MCP server (contacts, tags, custom fields, newsletters, funnels per their help article) — its MCP appears to cover funnels/newsletters that the public API docs don't clearly document, suggesting docs lag behind capability. I fetched developer.systeme.io/reference/api directly: intro documents only contacts/tags and asks users which auth methods to implement next, so breadth is genuinely unclear. Confidence lowered accordingly.",True,"main_blocker corrected in QA: The official endpoint index shows roughly ten resource groups (funnels, courses, communities, payments, webhooks, etc.), contradicting the 'mainly contacts/tags' characterization even though the surface is still partial."
38,Pinterest,"Marketing, Ads, Email and Social",developers.pinterest.com,"Visual discovery platform whose API v5 covers pins, boards, ads, catalogs, and analytics.",OAuth2,"API v5 uses OAuth2: authorization code flow (with refresh tokens) for user-context access to the full API, plus client credentials grant for app-own-behalf/machine-to-machine cases. No plain API key.",admin_approval_required,"Register an app on developers.pinterest.com, then request Trial Access (limited rate limits); full-scope Standard/production access requires an approval process including demonstrating a working interactive OAuth login flow to Pinterest.",REST,medium,"REST API v5 covering pins, boards, user account data, ads (campaigns/ad groups/ads/reporting), audiences, catalogs/shopping, and conversions API.",community_mcp,https://github.com/collactivelabs/pinterest-mcp-server,build_with_limits,Trial access has limited rate limits and standard access requires Pinterest's review/approval process,https://developers.pinterest.com/docs/api/v5/oauth-token/; https://developer.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/; https://github.com/pinterest/api-quickstart; https://github.com/collactivelabs/pinterest-mcp-server,medium,"No official Pinterest MCP found — only community servers (some, like terryso/mcp-pinterest, scrape rather than use the API; collactivelabs' uses the real API). Pinterest maintains an official api-quickstart repo on GitHub. Trial-vs-standard access details came from official docs surfaced in search; I did not fetch the access-request page itself.",False,
39,Threads / Meta,"Marketing, Ads, Email and Social",developers.facebook.com/docs/threads,"Meta's text-based social network, with a Threads API for publishing posts, managing replies, and reading insights.",OAuth2; Bearer token,"OAuth2 authorization code flow against Threads-specific endpoints: short-lived (1h) user access tokens exchangeable for long-lived 60-day tokens that must be refreshed before expiry; tokens carry Threads permissions (e.g. threads_basic, threads_content_publish).",admin_approval_required,Create a Meta developer app with the Threads use case — self-serve in development mode (limited test users). Publishing for arbitrary users in production requires Meta App Review with screencast demos per permission (typically a few business days).,REST,narrow,"Graph-API-style REST endpoints for creating/publishing threads (text, image, video, carousel), reply management/moderation, user profile info, and post/account insights. No ads or DM surface.",community_mcp,https://github.com/tttn13/threads-mcp,build_with_limits,Meta App Review required for production use with external users; 60-day token lifetime requires refresh handling,https://developers.facebook.com/docs/threads/get-started/get-access-tokens-and-permissions/; https://developers.facebook.com/docs/threads/get-started/; https://github.com/tttn13/threads-mcp; https://www.postman.com/meta/threads/documentation/dht3nzz/threads-api,medium,"No official Threads MCP from Meta found — only community servers. Note one prominent GitHub result (quinnjr/threads-mcp) targets 'Threads.com', so vet community options carefully. Auth/token lifecycle confirmed from official docs snippets; I did not fetch the docs pages directly (session limit hit on that fetch).",False,
40,SendGrid,"Marketing, Ads, Email and Social",sendgrid.com,Twilio's email delivery platform (transactional + marketing email) with the widely used v3 Web API.,API key; Bearer token,"v3 API authenticates with self-generated API keys sent as 'Authorization: Bearer <API_KEY>'; keys support scoped permissions (Full Access, Restricted/Custom, Billing). API keys replaced legacy username/password Basic auth.",trial_or_free_but_limited,"Sign up self-serve and create API keys immediately, but SendGrid discontinued its permanent free tier as of July 26, 2025 — new accounts get a 60-day free trial (100 emails/day), after which paid plans start around $19.95/month.",REST,broad,"v3 REST API covers mail send, dynamic templates, contacts/lists/segments, marketing campaigns (Single Sends), suppressions, domain/sender authentication, webhooks, and statistics.",community_mcp,https://github.com/Garoth/sendgrid-mcp,build_now,none,https://www.twilio.com/docs/sendgrid/api-reference/how-to-use-the-sendgrid-v3-api/authentication; https://www.twilio.com/docs/sendgrid/ui/account-and-settings/api-keys; https://www.twilio.com/en-us/changelog/sendgrid-free-plan; https://github.com/Garoth/sendgrid-mcp,high,"No official Twilio/SendGrid MCP found, though Twilio's own blog publishes a tutorial on building one; multiple community MCPs exist. Simplest auth model in this batch (single bearer API key). The 2025 removal of the permanent free tier only affects testing cost, not buildability.",False,
41,Shopify,Ecommerce,shopify.dev,Leading hosted ecommerce platform for building and running online stores.,OAuth2; Private app token,"OAuth2 (authorization code grant or token exchange) for public apps; custom apps get admin-generated Admin API access tokens installed per store. Static token generation outside the app model has been removed, so all new integrations go through app-based OAuth/token flows.",self_serve,"Free Shopify Partner/dev accounts with development stores are self-serve; merchants can create custom apps in their own admin to generate Admin API access tokens without review. Public app store listing requires Shopify app review, but credentials for direct integration are self-serve.",REST_and_GraphQL,broad,"GraphQL Admin API (now the primary API; REST Admin API is legacy) covers products, orders, customers, inventory, fulfillment, discounts, metafields, and more, plus Storefront API and webhooks.",official_mcp,https://shopify.dev/docs/apps/build/storefront-mcp,build_now,none,https://shopify.dev/docs/api/usage/authentication; https://shopify.dev/docs/apps/build/authentication-authorization; https://shopify.dev/docs/apps/build/authentication-authorization/access-tokens/generate-app-access-tokens-admin; https://shopify.dev/docs/apps/build/storefront-mcp; https://shopify.dev/docs/apps/build/devmcp,high,"Shopify ships official MCP servers (Storefront MCP on every store, Customer Accounts MCP, and a local Dev MCP). Note REST Admin API is deprecated for new public apps in favor of GraphQL, so a new toolkit should target GraphQL Admin API.",False,
42,WooCommerce,Ecommerce,woocommerce.com/document/woocommerce-rest-api,Open-source ecommerce plugin for WordPress with a built-in REST API per store.,Basic auth; API key; HMAC signature,Store admins generate consumer key/secret API keys (WooCommerce > Settings > Advanced > REST API) used as HTTP Basic auth credentials over HTTPS; over plain HTTP a one-legged OAuth 1.0a-style HMAC signature scheme is required. No standard OAuth2 flow.,self_serve,"Fully self-serve, but per-store: each merchant generates their own consumer key/secret in wp-admin with read/write scope. There is no central developer portal or app review; the software itself is free and self-hosted.",REST,broad,"REST API (v3) covers products, orders, customers, coupons, refunds, shipping, taxes, reports, settings, and webhooks.",official_mcp,https://developer.woocommerce.com/docs/features/mcp/,build_now,none,https://developer.woocommerce.com/docs/apis/rest-api/authentication/; https://developer.woocommerce.com/docs/apis/rest-api/; https://developer.woocommerce.com/docs/features/mcp/; https://woocommerce.com/document/woocommerce-rest-api/,high,"WooCommerce now has native/official MCP integration documented in its developer docs (built on the WordPress Abilities system with a local proxy), plus many community MCP servers. Main operational caveat for Composio: credentials are per-store (each user must paste their own site URL + key/secret); connection quality depends on each store's hosting/SSL setup.",False,
43,BigCommerce,Ecommerce,developer.bigcommerce.com,SaaS ecommerce platform for online stores with extensive management and storefront APIs.,OAuth2; API key,"All API accounts are OAuth2-based: single-click apps use the OAuth2 authorization code flow against login.bigcommerce.com to obtain a permanent access_token, while merchants can also self-create store-level API accounts that directly yield an access token sent via the X-Auth-Token header.",self_serve,"Self-serve: developers get free sandbox stores via the BigCommerce developer program, and merchants create store-level API credentials (client id/secret + access token with chosen scopes) directly in the store control panel. Marketplace app listing requires review, but direct API access does not.",REST_and_GraphQL,broad,"REST Management APIs plus a GraphQL Admin API and GraphQL Storefront API, covering catalog, orders, customers, carts/checkout, pricing, webhooks, and store settings.",official_mcp,https://www.bigcommerce.com/blog/storefront-mcp/,build_now,none,https://developer.bigcommerce.com/docs/start/authentication; https://developer.bigcommerce.com/docs/start/authentication/api-accounts; https://developer.bigcommerce.com/docs/integrations/apps/guide/auth; https://www.bigcommerce.com/blog/storefront-mcp/; https://github.com/isaacgounton/bigcommerce-api-mcp,high,"BigCommerce announced an official Storefront MCP server (shopper-facing: catalog search, cart, checkout handoff); admin-side MCP coverage is community (e.g., isaacgounton/bigcommerce-api-mcp, StackOne). Store-level access tokens make per-user connection simple for Composio.",False,
44,Salesforce Commerce Cloud,Ecommerce,developer.salesforce.com/docs/commerce,Enterprise B2C/B2B commerce platform (formerly Demandware) with the Salesforce Commerce API (SCAPI).,OAuth2; JWT,"Admin SCAPI endpoints are secured via OAuth2 client credentials issued through Account Manager; Shopper APIs use SLAS (Shopper Login and API Access Service), which issues JWT shopper access tokens (~30 min validity) via OAuth2-style grant flows, including trusted-system tokens.",partner_gated,"There is no self-serve signup for a Commerce Cloud instance: you need a licensed B2C Commerce instance (enterprise contract) or partner-program sandbox access, then an admin with Account Manager roles must create API clients and SLAS clients for you. Legacy OCAPI also exists behind the same instance requirement.",REST,broad,"SCAPI covers shopper flows (search, baskets, checkout, login) and admin resources (products, catalogs, orders, customers, pricing, promotions), alongside the older OCAPI REST API.",community_mcp,https://github.com/taurgis/sfcc-dev-mcp,needs_partner_or_paid_access,Credentials require a licensed B2C Commerce instance and Account Manager/SLAS admin setup; no self-serve developer sandbox.,https://developer.salesforce.com/docs/commerce/commerce-api/guide/slas.html; https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization-for-shopper-apis.html; https://developer.salesforce.com/docs/commerce/account-manager/guide/custom-api-authentication.html; https://github.com/taurgis/sfcc-dev-mcp; https://github.com/BrinsilElias/commercecloud-mcp-server,medium,"Docs are public and detailed, but I could not confirm any self-serve path to an instance; access model is inferred from Account Manager role requirements and Salesforce's enterprise sales motion. Salesforce announced MCP support across Salesforce (June 2025), but Commerce Cloud-specific MCP servers found are community-built (sfcc-dev-mcp is docs/logs-focused; commercecloud-mcp-server uses OCAPI).",True,Manually verified in QA sample; no corrections needed.
